timestamp,eye_rub_first_hand_report,eye_rub_first_hand_count,eye_rub_first_hand_durations,|,eye_rub_second_hand_report,eye_rub_second_hand_count,eye_rub_second_hand_durations,|,flicker_report,flicker_count,|,micro_sleep_report,micro_sleep_count,micro_sleep_durations,|,pitch_report,pitch_count,pitch_durations,|,yawn_report,yawn_count,yawn_durations
2024-08-20 20:44:29,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 80.0 seconds remaining.,[]
2024-08-20 20:44:43,False,0,[],|,False,0,[],|,False,0,|,True,5,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 65.0 seconds remaining.,[]
2024-08-20 20:44:47,False,0,[],|,False,0,[],|,True,22,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
2024-08-20 20:45:42,False,0,[],|,False,0,[],|,False,0,|,True,6,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 6.0 seconds remaining.,[]
2024-08-20 20:45:47,False,0,[],|,False,0,[],|,True,21,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,2,"['1 yawn: 8.0 seconds', '2 yawn: 7.0 seconds']"
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,0,|,True,7,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 180.0 seconds remaining.,[]
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,True,3,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds']",|,False,Counting yawns... 180.0 seconds remaining.,[]
2024-08-20 20:45:59,False,0,[],|,False,0,[],|,False,Counting flickers... 48.0 seconds remaining.,|,False,0,[],|,True,4,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds']",|,False,Counting yawns... 169.0 seconds remaining.,[]
2024-08-20 20:46:47,False,0,[],|,False,0,[],|,True,30,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 121.0 seconds remaining.,[]
2024-08-20 20:47:28,False,0,[],|,False,0,[],|,False,0,|,True,8,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 80.0 seconds remaining.,[]
2024-08-20 20:47:31,False,0,[],|,False,0,[],|,False,0,|,True,9,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 76.0 seconds remaining.,[]
2024-08-20 20:47:46,False,0,[],|,False,0,[],|,True,32,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 62.0 seconds remaining.,[]
2024-08-20 20:47:48,True,1,['1 right eye rub: 2.0 seconds'],|,True,0,[],|,False,Counting flickers... 58.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 60.0 seconds remaining.,[]
2024-08-20 20:47:58,False,0,[],|,False,0,[],|,False,0,|,True,10,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 50.0 seconds remaining.,[]
2024-08-20 20:48:03,False,0,[],|,False,0,[],|,False,0,|,True,11,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds', '11 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 45.0 seconds remaining.,[]
2024-08-20 20:48:30,False,0,[],|,False,0,[],|,False,0,|,True,12,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds', '11 micro sleep: 3.0 seconds', '12 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 18.0 seconds remaining.,[]
2024-08-20 20:48:30,False,0,[],|,False,0,[],|,False,Counting flickers... 16.0 seconds remaining.,|,False,0,[],|,True,5,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds', '5 pitch: 4.0 seconds']",|,False,Counting yawns... 17.0 seconds remaining.,[]
2024-08-20 20:48:36,False,0,[],|,False,0,[],|,False,Counting flickers... 10.0 seconds remaining.,|,False,0,[],|,True,6,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds', '5 pitch: 4.0 seconds', '6 pitch: 4.0 seconds']",|,False,Counting yawns... 12.0 seconds remaining.,[]
2024-08-20 21:41:39,False,0,[],|,False,0,[],|,True,28,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-08-20 21:41:42,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 5.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 117.0 seconds remaining.,[]
2024-08-20 21:41:47,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 112.0 seconds remaining.,[]
2024-08-20 21:41:55,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 104.0 seconds remaining.,[]
2024-08-20 21:41:56,False,0,[],|,False,0,[],|,False,Counting flickers... 44.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 12.0 seconds'],|,False,Counting yawns... 104.0 seconds remaining.,[]
2024-08-20 21:42:12,False,0,[],|,False,0,[],|,False,Counting flickers... 27.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 12.0 seconds', '2 pitch: 9.0 seconds']",|,False,Counting yawns... 88.0 seconds remaining.,[]
2024-11-11 20:58:47,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 154.0 seconds remaining.,[]
2024-11-11 20:58:48,False,0,[],|,False,0,[],|,False,Counting flickers... 34.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 154.0 seconds remaining.,[]
2024-11-11 21:02:30,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 147.0 seconds remaining.,[]
2024-11-11 21:02:42,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 136.0 seconds remaining.,[]
2024-11-11 21:02:42,False,0,[],|,False,0,[],|,False,Counting flickers... 16.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 136.0 seconds remaining.,[]
2024-11-12 10:41:29,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 160.0 seconds remaining.,[]
2024-11-12 10:41:37,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 6.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 152.0 seconds remaining.,[]
2024-11-12 10:41:37,False,0,[],|,False,0,[],|,False,Counting flickers... 32.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 7.0 seconds'],|,False,Counting yawns... 152.0 seconds remaining.,[]
2024-12-06 18:58:48,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 2.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 127.0 seconds remaining.,[]
2024-12-06 18:58:55,False,0,[],|,False,0,[],|,True,3,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-06 18:58:55,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-06 18:58:56,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-07 12:19:34,False,0,[],|,False,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-07 12:25:58,True,1,['1 right eye rub: 2.0 seconds'],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2025-06-16 09:27:06,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 3.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 170.0 seconds remaining.,[]
2025-06-16 09:27:07,False,0,[],|,False,0,[],|,False,Counting flickers... 49.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 7.0 seconds'],|,False,Counting yawns... 169.0 seconds remaining.,[]
2025-06-16 09:45:45,False,0,[],|,False,0,[],|,True,14,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2025-06-16 09:49:21,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 3.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 169.0 seconds remaining.,[]
2025-06-16 09:55:19,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 2.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 149.0 seconds remaining.,[]
2025-06-16 09:57:41,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 2.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 170.0 seconds remaining.,[]
2025-06-16 09:58:23,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 128.0 seconds remaining.,[]
2025-06-16 09:58:30,False,0,[],|,False,0,[],|,True,6,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2025-06-16 09:59:25,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 3.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 171.0 seconds remaining.,[]
2025-06-16 10:09:08,False,0,[],|,False,0,[],|,False,Counting flickers... 57.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-16 10:10:51,False,0,[],|,False,0,[],|,False,Counting flickers... 58.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-16 10:10:59,False,0,[],|,False,0,[],|,False,Counting flickers... 51.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,2,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds']"
2025-06-17 15:35:38,False,0,[],|,False,0,[],|,False,Counting flickers... 54.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:35:43,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 3.0 seconds'],|,False,Counting pitches...,[],|,False,1,['1 yawn: 0.0 seconds']
2025-06-17 15:35:48,False,0,[],|,False,0,[],|,False,Counting flickers... 44.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,2,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds']"
2025-06-17 15:39:59,False,0,[],|,False,0,[],|,False,Counting flickers... 56.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:40:02,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 3.0 seconds'],|,False,Counting pitches...,[],|,False,1,['1 yawn: 0.0 seconds']
2025-06-17 15:40:17,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 3.0 seconds', '2 micro sleep: 5.0 seconds']",|,False,Counting pitches...,[],|,False,1,['1 yawn: 0.0 seconds']
2025-06-17 15:41:46,False,0,[],|,False,0,[],|,False,Counting flickers... 50.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:43:23,False,0,[],|,False,0,[],|,False,Counting flickers... 50.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:45:21,False,0,[],|,False,0,[],|,False,Counting flickers... 57.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:45:23,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 3.0 seconds'],|,False,Counting pitches...,[],|,False,1,['1 yawn: 0.0 seconds']
2025-06-17 15:45:29,False,0,[],|,False,0,[],|,False,Counting flickers... 50.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,2,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds']"
2025-06-17 15:45:37,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 3.0 seconds', '2 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,2,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds']"
2025-06-17 15:47:39,False,0,[],|,False,0,[],|,False,Counting flickers... 57.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:47:49,False,0,[],|,False,0,[],|,False,Counting flickers... 48.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,2,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds']"
2025-06-17 15:48:41,False,0,[],|,False,0,[],|,False,Counting flickers... 58.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:49:02,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,1,['1 yawn: 0.0 seconds']
2025-06-17 15:49:56,False,0,[],|,False,0,[],|,False,Counting flickers... 56.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:51:23,False,0,[],|,False,0,[],|,False,Counting flickers... 43.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:52:32,False,0,[],|,False,0,[],|,False,Counting flickers... 58.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:53:25,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:54:28,False,0,[],|,False,0,[],|,False,Counting flickers... 58.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:55:45,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:55:57,False,0,[],|,False,0,[],|,False,Counting flickers... 47.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,2,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds']"
2025-06-17 15:56:03,False,0,[],|,False,0,[],|,False,Counting flickers... 41.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,3,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds']"
2025-06-17 15:56:12,False,0,[],|,False,0,[],|,False,Counting flickers... 32.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,4,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds', '4 yawn: 0.0 seconds']"
2025-06-17 15:56:14,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 5.0 seconds'],|,False,Counting pitches...,[],|,False,4,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds', '4 yawn: 0.0 seconds']"
2025-06-17 15:56:16,False,0,[],|,False,0,[],|,False,Counting flickers... 28.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,5,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds', '4 yawn: 0.0 seconds', '5 yawn: 0.0 seconds']"
2025-06-17 15:56:22,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 7.0 seconds']",|,False,Counting pitches...,[],|,False,5,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds', '4 yawn: 0.0 seconds', '5 yawn: 0.0 seconds']"
2025-06-17 15:57:17,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-17 15:57:31,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 2.0 seconds'],|,False,Counting pitches...,[],|,False,1,['1 yawn: 0.0 seconds']
2025-06-17 15:57:37,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,1,['1 yawn: 0.0 seconds']
2025-06-18 17:57:53,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2025-06-18 17:58:03,False,0,[],|,False,0,[],|,False,Counting flickers... 50.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 0.0 seconds']
2025-06-18 17:58:20,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 6.0 seconds'],|,False,Counting pitches...,[],|,False,1,['1 yawn: 0.0 seconds']
2025-06-18 17:58:29,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 6.0 seconds', '2 micro sleep: 5.0 seconds']",|,False,Counting pitches...,[],|,True,2,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds']"
2025-06-18 17:58:36,False,0,[],|,False,0,[],|,False,Counting flickers... 17.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,3,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds']"
2025-06-18 17:58:53,False,0,[],|,False,0,[],|,True,2,|,False,0,[],|,False,Counting pitches...,[],|,True,4,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds', '4 yawn: 0.0 seconds']"
2025-06-18 17:58:58,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 6.0 seconds', '2 micro sleep: 5.0 seconds', '3 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,4,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds', '4 yawn: 0.0 seconds']"
2025-06-18 18:08:56,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,4,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds', '4 yawn: 0.0 seconds']"
2025-06-18 18:09:07,False,0,[],|,False,0,[],|,False,Counting flickers... 49.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds', '4 yawn: 0.0 seconds', '1 yawn: 0.0 seconds']"
2025-06-18 18:09:13,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 6.0 seconds', '2 micro sleep: 5.0 seconds', '3 micro sleep: 2.0 seconds', '4 micro sleep: 7.0 seconds']",|,False,Counting pitches...,[],|,False,1,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds', '4 yawn: 0.0 seconds', '1 yawn: 0.0 seconds']"
2025-06-18 18:09:44,False,0,[],|,False,0,[],|,False,Counting flickers... 12.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,2,"['1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds', '3 yawn: 0.0 seconds', '4 yawn: 0.0 seconds', '1 yawn: 0.0 seconds', '2 yawn: 0.0 seconds']"
